,params,train_recall,train_f1,val_recall,val_f1
23,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 10, 'n_estimators': 200}",1.0,0.6317911808452378,0.6167487684729064,0.4193050552033851
18,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 50}",0.991118836915297,0.6356728057920866,0.602463054187192,0.417399004583883
22,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.627312914730892,0.6167487684729064,0.41651532955880777
20,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.6366743036394692,0.5953201970443349,0.41437362637362635
19,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.6340695915595809,0.602463054187192,0.4133611809376744
26,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 15, 'n_estimators': 200}",1.0,0.6196066246828316,0.6238916256157635,0.41246996780163236
21,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 10, 'n_estimators': 50}",0.9911346396965867,0.626202476133067,0.6238916256157635,0.4120172764997454
35,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 15, 'n_estimators': 200}",1.0,0.6871894821374344,0.5310344827586206,0.4112982732999303
25,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 15, 'n_estimators': 100}",0.9982300884955752,0.6175149549829573,0.6310344827586206,0.41012801018177364
33,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 15, 'n_estimators': 50}",0.9911346396965867,0.6859412354709603,0.5312807881773398,0.4091424185212582
31,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.7075637311251551,0.5167487684729064,0.4045006431631137
27,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 5, 'n_estimators': 50}",0.9946744627054361,0.7267456534661874,0.49556650246305417,0.4041710543482465
32,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 10, 'n_estimators': 200}",1.0,0.7061561672902203,0.5167487684729064,0.40381889161053286
34,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 15, 'n_estimators': 100}",1.0,0.6874569916144087,0.5238916256157635,0.40337284024709785
28,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.7189030947657443,0.49556650246305417,0.4010565272218872
11,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.9610145385587863,0.5094497253043746,0.7305418719211823,0.39826498667620164
30,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 10, 'n_estimators': 50}",0.9929045512010113,0.702398112842092,0.5098522167487685,0.39590334801602406
9,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.952117572692794,0.4981722072787754,0.7588669950738917,0.39518123278953543
14,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.9539032869785082,0.5018611182929413,0.7305418719211823,0.3936912685881758
15,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 15, 'n_estimators': 50}",0.955673198482933,0.48995178314275184,0.7448275862068965,0.39366531376714536
10,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.9609829329962073,0.5065752068898346,0.7374384236453201,0.39360254641538833
17,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.9521333754740835,0.49479363163544604,0.7305418719211823,0.39290325244656105
29,"{'class_weight': 'balanced', 'max_depth': 9, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.7161663916999605,0.4881773399014778,0.39199422656742444
12,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.9503634639696588,0.49521485150482086,0.7448275862068966,0.38849465058696286
13,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9556890012642224,0.4993043057576633,0.7305418719211823,0.38782619304463967
24,"{'class_weight': 'balanced', 'max_depth': 7, 'min_samples_split': 15, 'n_estimators': 50}",0.9911346396965864,0.6109866803662994,0.5881773399014778,0.3877916848180828
16,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 15, 'n_estimators': 100}",0.9556890012642226,0.49613132551612227,0.723399014778325,0.38350647200329985
8,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 15, 'n_estimators': 200}",0.9024652338811631,0.3635287283188927,0.8088669950738916,0.3311196320207153
7,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 15, 'n_estimators': 100}",0.9024494310998735,0.3604156371730981,0.8160098522167487,0.3306153592797045
2,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.9024652338811631,0.3634095597237909,0.8088669950738916,0.33059069940673025
5,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.9042351453855879,0.3641315243545088,0.8088669950738916,0.33059069940673025
4,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.9024494310998735,0.3606913733989584,0.8160098522167487,0.3301360564474605
1,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.9024494310998735,0.3608141348085483,0.8160098522167487,0.3301360564474605
3,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50}",0.9042351453855879,0.354433663051555,0.8017241379310345,0.32116785058035335
6,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 15, 'n_estimators': 50}",0.9042351453855879,0.3543120462781696,0.8017241379310345,0.32116785058035335
0,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",0.9042351453855879,0.3545468264157562,0.8017241379310345,0.32116785058035335
